categorie,designation,unite,prix_bas,prix_moyen,prix_haut,source,notes,groupe_variante,est_defaut
Menuiserie,Pose en remplacement double vitrage sur fenetre existante conservee,u,154.00,154.00,154.00,COUTANT 19840 2025,Devis reel,,0
Menuiserie,Double vitrage 4/16/4 clair transparent,m2,102.31,102.31,102.31,COUTANT 19840 2025,Devis reel,,0
Sanitaire,Receveur de douche 140x80 redecoupable,u,297.67,297.67,297.67,COUTANT 19840 2025,Devis reel,,0
Plomberie,Depose/repose WC existant conserve,forfait,106.00,106.00,106.00,COUTANT 19840 2025,Devis reel,,0
Plomberie,Raccordement en EU des appareils sanitaires depuis existant,forfait,309.80,309.80,309.80,COUTANT 19840 2025,Devis reel,,0
Plomberie,Realimentation EC/EF ensemble appareils sanitaires depuis chaudiere,forfait,836.01,836.01,836.01,COUTANT 19840 2025,Devis reel,,0
Plomberie,Reprise EF generale depuis tube existant vers chaudiere cuivre,forfait,402.25,402.25,402.25,COUTANT 19840 2025,Devis reel,,0
Sanitaire,Mitigeur de lavabo GROHE Eurosmart,u,86.41,86.41,86.41,COUTANT 21416 2026,Devis reel,,0
Sanitaire,Meuble sous-vasque 60cm 2 tiroirs,u,186.37,186.37,186.37,COUTANT 19840 2025,Devis reel,,0
Sanitaire,Paroi de douche coulissante,u,814.88,814.88,814.88,COUTANT 19840 2025,Devis reel,,0
Sanitaire,Ensemble douche thermostatique,u,258.12,260.83,263.54,COUTANT 19840-21416 2025-2026,Devis reel,,0
Chauffage,Radiateur eau chaude acier 22K600,u,116.96,128.88,140.80,COUTANT 19840 2025,Devis reel variantes selon dimension,,0
Chauffage,Depose radiateurs existants avec vidange,forfait,24.00,24.00,24.00,COUTANT 19840 2025,Devis reel,,0
Chauffage,Suppression radiateur existant couloir avec vidange,forfait,101.00,101.00,101.00,COUTANT 19840 2025,Devis reel,,0
Chauffage,Chaudiere murale a condensation THPE 20kW,u,2391.84,2391.84,2391.84,COUTANT 19840 2025,Devis reel,,0
Chauffage,Tubage conduit flexible condensation,forfait,597.01,597.01,597.01,COUTANT 19840 2025,Devis reel,,0
Chauffage,Depose ancienne chaudiere gaz murale avec evacuation,forfait,72.00,72.00,72.00,COUTANT 19840 2025,Devis reel,,0
Chauffage,Desembouage rincage traitement installation,forfait,298.54,298.54,298.54,COUTANT 19840 2025,Devis reel,,0
Chauffage,Raccordement radiateur seche-serviette SDB depuis sous-sol,forfait,343.86,343.86,343.86,COUTANT 19840 2025,Devis reel,,0
Chauffage,Seche-serviette eau chaude 417W,u,162.44,162.44,162.44,COUTANT 19840 2025,Devis reel,,0
Chauffage,Equipement pose radiateur remplacement thermostatique,u,264.71,264.71,264.71,COUTANT 19840 2025,Devis reel,,0
Chauffage,Kit VMC hygroreglable 2 basse consommation,forfait,1188.57,1188.57,1188.57,COUTANT 19840 2025,Devis reel,,0
Chauffage,Entree d'air hygroreglable compacte 5/45,u,61.98,61.98,61.98,COUTANT 19840 2025,Devis reel,,0
Chauffage,Regulation programmable sans-fil,u,391.07,391.07,391.07,COUTANT 19840 2025,Devis reel,,0
Chauffage,Filtre a boues hydrocyclonique magnetique,u,143.44,143.44,143.44,COUTANT 19840 2025,Devis reel,,0
Carrelage,Ragreage fibre sol beton existant,m2,23.01,23.01,23.01,COUTANT 19840 2025,Devis reel,,0
Menuiserie,Dalle vinyle clipsable pose sol,m2,40.26,40.26,40.26,COUTANT 19840-19842 2025,Devis reel,,0
Menuiserie,Pose droite lames stratifiees clipsables sur sous-couche,forfait,1713.78,1713.78,1713.78,COUTANT 19840 2025,Devis reel,,0
Carrelage,Fourniture de faience,m2,28.00,28.00,28.00,COUTANT 19840 2025,Devis reel,,0
Etancheite,Fourniture pose etancheite fibre sous douche,m2,40.74,40.74,40.74,COUTANT 19840 2025,Devis reel,,0
Carrelage,Fourniture de carrelage,m2,25.00,25.00,25.00,COUTANT 19840 2025,Devis reel,,0
Carrelage,Pose droite carrelage avec joint (salle de bain),forfait,231.00,231.00,231.00,COUTANT 19840 2025,Devis reel,,0
Menuiserie,Plinthe MDF prepeinte blanche posee,u,6.76,6.76,6.76,COUTANT 19840 2025,Devis reel,,0
Serrurerie,Garde-corps L2000xH1050mm tube acier thermolaque pose,u,2124.00,2124.00,2124.00,COUTANT 19840 2025,Devis reel,,0
Plaquiste,Faconnage cloisons isolees 45mm placo ordinaire/marine SDB,m2,69.32,69.32,69.32,COUTANT 19842 2025,Devis reel amenagement sous-sol,,0
Plaquiste,Fourniture pose collee au MAP placo ordinaire sur mur refend,m2,34.48,34.48,34.48,COUTANT 19842 2025,Devis reel,,0
Plaquiste,Fourniture pose collee au MAP placo marine mur refend,m2,45.78,45.78,45.78,COUTANT 19842 2025,Devis reel,,0
Menuiserie,Bloc-porte alveolaire 83cm droite poussant avec poignee et serrure,u,236.43,237.66,238.90,COUTANT 19842 2025,Devis reel,,0
Electricite,3 interrupteurs poussoirs avec 2 lampes DCL compris cablage,u,205.14,205.14,205.14,COUTANT 19842 2025,Devis reel,,0
Electricite,Sortie de cable compris cablage (chaudiere),u,130.80,130.80,130.80,COUTANT 19842 2025,Devis reel,,0
Plomberie,Attentes EC/EF pour 1 WC 1 douche 1 vasque depuis chaudiere,forfait,574.69,574.69,574.69,COUTANT 19842 2025,Devis reel,,0
Plomberie,Raccordement EU appareils sanitaires depuis attentes sol maconnerie,forfait,312.30,312.30,312.30,COUTANT 19842 2025,Devis reel,,0
Sanitaire,Pack WC blanc complet,u,112.27,112.84,113.41,COUTANT 19842-21416 2025-2026,Devis reel,,0
Sanitaire,Paroi fixe douche 1950x1000mm,u,280.43,280.43,280.43,COUTANT 19842 2025,Devis reel,,0
Carrelage,Ragreage non-fibre sol beton,m2,18.23,18.23,18.23,COUTANT 19842 2025,Devis reel,,0
Electricite,Goulottes IK10 passage cables Enedis communs,forfait,4194.26,4194.26,4194.26,COUTANT 21415 2026,Devis reel immeuble 4 logements + communs,,0
Electricite,Essais installations + attestations CONSUEL (5),forfait,934.80,934.80,934.80,COUTANT 21415 2026,Devis reel,,0
Electricite,Tableau electrique NFC15100 1 rangee 13 modules avec goulotte GTL,u,630.49,630.49,630.49,COUTANT 21415 2026,Devis reel,,0
Electricite,Mise a la terre generale repartiteur 4 logements+1 commun,forfait,884.10,884.10,884.10,COUTANT 21415 2026,Devis reel,,0
Electricite,Pose coffret de chantier provisoire,forfait,98.00,98.00,98.00,COUTANT 21415 2026,Devis reel,,0
Chauffage,Kit VMC hygroreglable extra-plat par logement,u,943.77,943.77,943.77,COUTANT 21415 2026,Devis reel,,0
Electricite,Tableau electrique NFC15100 2 rangees 26 modules pose en bac,u,782.82,782.82,782.82,COUTANT 21415 2026,Devis reel par logement,,0
Electricite,Bac d'encastrement 1 travee/2 rangees compris kit communication,u,332.22,332.22,332.22,COUTANT 21415 2026,Devis reel par logement,,0
Electricite,Gaine ICTA pour fibre par logement,u,114.20,114.20,114.20,COUTANT 21415 2026,Devis reel,,0
Electricite,Sortie de cable compris cablage (chauffe-eau),u,116.49,116.49,116.49,COUTANT 21415 2026,Devis reel,,0
Chauffage,Radiateur seche-serviette electrique 500W,u,190.09,190.09,190.09,COUTANT 21415 2026,Devis reel,,0
Chauffage,Radiateur electrique inertie digital 1500W,u,295.22,295.22,295.22,COUTANT 21415 2026,Devis reel,,0
Chauffage,Radiateur electrique inertie digital 1000W,u,233.39,233.39,233.39,COUTANT 21415 2026,Devis reel,,0
Electricite,Prise reseau RJ45 cat6 FTP grade2 compris cablage grade3,u,137.05,137.05,137.05,COUTANT 21415 2026,Devis reel,,0
Electricite,Prise de courant affleurante,u,69.48,69.48,69.48,COUTANT 21415 2026,Devis reel,,0
Electricite,Interphonie kit audio platine+4 postes,u,721.03,721.03,721.03,COUTANT 21415 2026,Devis reel,,0
Electricite,Pose cablage paramétrage interphonie,forfait,2139.00,2139.00,2139.00,COUTANT 21415 2026,Devis reel,,0
Electricite,Hublot LED detection 20W,u,49.70,49.70,49.70,COUTANT 21415 2026,Devis reel,,0
Electricite,Pose et cablage luminaires,u,120.00,120.00,120.00,COUTANT 21415 2026,Devis reel,,0
Plomberie,Raccordement ensemble sanitaire vidange 4 logements depuis attentes,forfait,3947.30,3947.30,3947.30,COUTANT 21416 2026,Devis reel immeuble 4 logements,,0
Plomberie,Ventilation de chute sans clapet PVC 100mm,u,259.00,259.00,259.00,COUTANT 21416 2026,Devis reel,,0
Plomberie,Alimentation EF depuis compteur PER gaine DN20,forfait,508.08,611.13,714.18,COUTANT 21416 2026,Devis reel variable selon logement,,0
Plomberie,Fourniture pose reducteur de pression,u,86.26,86.26,86.26,COUTANT 21416 2026,Devis reel,,0
Chauffage,Chauffe-eau electrique blinde vertical 100L monophase,u,420.07,420.07,420.07,COUTANT 21416 2026,Devis reel,,0
Chauffage,Chauffe-eau electrique instantane steatite 65L,u,694.72,694.72,694.72,COUTANT 21416 2026,Devis reel,,0
Plomberie,Distribution EC/EF PER gaine douche/evier/lavabo/wc/electromenager,forfait,1728.64,1728.64,1728.64,COUTANT 21416 2026,Devis reel,,0
Plomberie,Branchement machine a laver avec robinet et siphon,forfait,82.10,82.10,82.10,COUTANT 21416 2026,Devis reel,,0
Sanitaire,Equipement pose mobilier avec mitigeur compris siphon,forfait,205.67,205.67,205.67,COUTANT 21416 2026,Devis reel,,0
Sanitaire,Acces d'angle coulissant douche 2 fixes+2 coulissants,u,560.14,560.14,560.14,COUTANT 21416 2026,Devis reel,,0
Sanitaire,Receveur de douche ceramique 80x80 ou 120x80,u,108.68,163.58,218.47,COUTANT 21416 2026,Devis reel,,0
Sanitaire,Meuble sous table faible profondeur 60cm 2 tiroirs,u,420.74,420.74,420.74,COUTANT 21416 2026,Devis reel,,0
Plomberie,Equipement pose ensemble amenagement cuisine evier+mitigeur+decoupes,forfait,778.00,778.00,778.00,COUTANT 21416 2026,Devis reel,,0
Electricite,Pose appareils electromenagers,forfait,192.00,192.00,192.00,COUTANT 21416 2026,Devis reel,,0
Plomberie,Branchement lave-vaisselle avec robinet et siphon,forfait,82.10,82.10,82.10,COUTANT 21416 2026,Devis reel,,0
Plaquiste,Fermeture cage escalier cloison laine de verre 120mm placo phonique/marine,m2,115.22,115.35,115.51,COUTANT 21418 2026,Devis reel communs immeuble locatif,,0
Menuiserie,Reprise plancher palier panneau OSB 22mm,forfait,675.84,675.84,675.84,COUTANT 21418 2026,Devis reel,,0
Menuiserie,Fenetre bois 2 vantaux petits bois colles (diverses dimensions),u,1075.10,1411.25,1887.45,COUTANT 21418 2026,Devis reel fourchette selon dimension,,0
Menuiserie,Depose huisseries bois simple vitrage existantes avec evacuation,forfait,48.00,48.00,48.00,COUTANT 21418 2026,Devis reel,,0
Menuiserie,Pose en remplacement fenetres bois compris joint,forfait,280.00,280.00,280.00,COUTANT 21418 2026,Devis reel,,0
Menuiserie,Bloc-porte paliere 39dB EI30 prepeint 204x83cm,u,638.25,638.25,638.25,COUTANT 21418 2026,Devis reel,,0
Serrurerie,Cylindre double entree laiton nickele,u,46.34,46.34,46.34,COUTANT 21418 2026,Devis reel,,0
Serrurerie,Ensemble plaque paliere,u,64.92,64.92,64.92,COUTANT 21418 2026,Devis reel,,0
Menuiserie,Pose ensemble porte paliere compris mise en jeux et reglage,forfait,318.00,318.00,318.00,COUTANT 21418 2026,Devis reel,,0
Plaquiste,Faconnage faux-plafond placo phonique isole laine de verre 100mm,m2,116.27,116.27,116.27,COUTANT 21418 2026,Devis reel,,0
Isolation,Faconnage doublage isole laine de verre 120mm en placo 3-4 faces,m2,73.51,85.51,97.51,COUTANT 21418 2026,Devis reel,,0
Plaquiste,Faconnage ensemble cloisons isolees 45mm placo ordinaire/marine SDB,m2,793.32,1111.65,1557.93,COUTANT 21418 2026,Devis reel forfait variable selon logement,,0
Menuiserie,Bloc-porte alveolaire 83cm GP compris poignee et serrure,u,284.43,285.75,286.90,COUTANT 21418 2026,Devis reel,,0
Isolation,Faconnage plafond rampant placo isole laine de verre 220mm R6.25,m2,151.65,151.65,151.65,COUTANT 21418 2026,Devis reel,,0
Electricite,Fourniture pose tableau 1 rangee 13 modules disjoncteurs + differentiel,forfait,980.00,980.00,980.00,EP_RENOV D202602245 2026,Devis reel parties communes immeuble locatif,,0
Electricite,Fourniture pose appareillage (inter poussoir va-et-vient prise antenne RJ45),forfait,300.00,300.00,300.00,EP_RENOV D202602245 2026,Devis reel,,0
Peinture,Renovation cage escalier (protection+decapage+enduisage+peinture),m2,85.00,85.00,85.00,EP_RENOV D202602245 2026,Devis reel,,0
Menuiserie,Poncage et vitrification parquet escalier (par etage),forfait,535.00,535.00,535.00,EP_RENOV D202602245 2026,Devis reel,,0
Electricite,Forfait intervention Enedis gestion administrative et technique,u,2600.00,2600.00,2600.00,EP_RENOV D202602246 2026,Devis reel decoupage logements locatif,,0
Electricite,Passage fourreaux IK10 gaine technique logement + goulotte,u,855.00,855.00,855.00,EP_RENOV D202602246 2026,Devis reel,,0
Plomberie,Creation eau froide multicouche gaine D26,ml,98.00,98.00,98.00,EP_RENOV D202602246 2026,Devis reel,,0
Plomberie,Fourniture pose sous compteur eau froide compris vanne et reducteur,u,451.00,451.00,451.00,EP_RENOV D202602246 2026,Devis reel,,0
Plomberie,Creation reseau TAL D100/D40/D32 compris fixations,u,1298.00,1298.00,1298.00,EP_RENOV D202602246 2026,Devis reel,,0
Menuiserie,Fourniture pose porte de service PVC pleine 200x80,u,430.00,430.00,430.00,EP_RENOV D202602246 2026,Devis reel,,0
Plaquiste,Fourniture pose cloison separative appartements ossature metallique 122mm,m2,89.00,89.00,89.00,EP_RENOV D202602246 2026,Devis reel,,0
Maconnerie,Reprise plancher partiel,u,980.00,980.00,980.00,EP_RENOV D202602246 2026,Devis reel,,0
Maconnerie,Pose de parpaing + colle + ferraille,u,144.00,144.00,144.00,EP_RENOV D202602246 2026,Devis reel,,0
Demolition,Depose cheminee avec evacuation gravats,u,690.00,690.00,690.00,EP_RENOV D202602246 2026,Devis reel,,0
Electricite,Forfait Enedis pose point de comptage + passage fourreaux IK10,u,2900.00,2900.00,2900.00,EP_RENOV D202507208 2025,Devis reel Niort,,0
Plomberie,Modification et division reseau TAL avec changement tabouret + terrassement,u,1300.00,1300.00,1300.00,EP_RENOV D202507208 2025,Devis reel,,0
Plomberie,Compteur eau individuel + passage arrivee PE32 avec terrassement,u,2900.00,2900.00,2900.00,EP_RENOV D202507208 2025,Devis reel,,0
Plaquiste,Fourniture pose cloison placo BA13 phonique sur rail montant 48,m2,92.00,92.00,92.00,EP_RENOV D202507208 2025,Devis reel,,0
Electricite,Fourniture pose tableau 2-3 rangees avec differentiel remise aux normes + consuel,u,4000.00,4000.00,4000.00,EP_RENOV D202507208 2025,Devis reel,,0
Chauffage,Fourniture pose radiateur 1500W raccordement et fixation,u,400.00,400.00,400.00,EP_RENOV D202507208 2025,Devis reel,,0
Plomberie,Creation reseau alimentation EC/EF multicouche compris raccords/nourrices,u,3460.00,3460.00,3460.00,EP_RENOV D202507208 2025,Devis reel,,0
Plomberie,Modification reseau eaux usees general + creation evacuations SDB/cuisine,u,2311.70,2311.70,2311.70,EP_RENOV D202507208 2025,Devis reel,,0
Sanitaire,Forfait creation salle de bain complete (receveur+paroi+robinetterie+mobilier+wc),u,3500.00,3500.00,3500.00,EP_RENOV D202507208 2025,Devis reel,,0
Plomberie,Fourniture pose cuisine equipee 3 caissons bas/2 hauts+hotte+plaque+evier,u,2300.00,2300.00,2300.00,EP_RENOV D202507208 2025,Devis reel,,0
Plomberie,Fourniture pose cuisine equipee 4-5 caissons bas/hauts+hotte+plaque+evier,u,4000.00,4000.00,4000.00,EP_RENOV D202507208 2025,Devis reel,,0
Plaquiste,Fourniture pose cloison placo sur rail montant 48,m2,32.00,32.00,32.00,EP_RENOV D202507208 2025,Devis reel,,0
Isolation,Fourniture pose isolation 120mm doublage,m2,18.00,18.00,18.00,EP_RENOV D202507208 2025,Devis reel,,0
Plaquiste,Forfait bande a joint,forfait,4000.00,4000.00,4000.00,EP_RENOV D202507208 2025,Devis reel,,0
Peinture,Mise en peinture 2 couches sous-couche+finition mat blanc,m2,18.00,18.00,18.00,EP_RENOV D202507208 2025,Devis reel,,0
Peinture,Peinture murs main d'oeuvre seule (reprise defauts+impression+2 couches),m2,10.00,10.00,10.00,TC_JOINTEUR_PEINTRE D202500005 2025,Devis reel RDC sans fourniture,,0
Peinture,Peinture plafonds main d'oeuvre seule (reprise defauts+impression+2 couches),m2,15.00,15.00,15.00,TC_JOINTEUR_PEINTRE D202500005 2025,Devis reel RDC sans fourniture,,0
Peinture,Peinture portes+bati main d'oeuvre seule (poncage+2 couches),forfait,30.00,30.00,30.00,TC_JOINTEUR_PEINTRE D202500005 2025,Devis reel RDC sans fourniture,,0
Menuiserie,Fenetre bois 2 vantaux 2310x1275mm dormant G58 RDC,u,1935.00,1935.00,1935.00,BONNET_CEDRIC D-260183 2026,Devis reel; renovation depose totale,,0
Menuiserie,Fenetre bois 2 vantaux 2000x1080mm dormant G58 R+1,u,1175.00,1175.00,1175.00,BONNET_CEDRIC D-260183 2026,Devis reel,,0
Menuiserie,Fenetre bois 2 vantaux 2020x1110mm dormant G58,u,1210.00,1210.00,1210.00,BONNET_CEDRIC D-260183 2026,Devis reel,,0
Menuiserie,Fenetre bois 2 vantaux 1680x1060mm dormant G58 R+2,u,1040.00,1040.00,1040.00,BONNET_CEDRIC D-260183 2026,Devis reel,,0
Menuiserie,Fenetre bois 2 vantaux 1650x1060mm OF2 R+2,u,1010.00,1010.00,1010.00,BONNET_CEDRIC D-260183 2026,Devis reel,,0
Menuiserie,Fenetre bois 2 vantaux 1380x1000mm OF2 R+3,u,950.00,950.00,950.00,BONNET_CEDRIC D-260183 2026,Devis reel,,0
Menuiserie,Pose de menuiseries en renovation avec depose totale,u,195.00,195.00,195.00,BONNET_CEDRIC D-260183 2026,Devis reel,,0
Menuiserie,Bloc porte interieure 204x90 EI30 39dB huisserie BER avec serrure 3 points,u,945.00,945.00,945.00,BONNET_CEDRIC D-260183 2026,Devis reel,,0
Menuiserie,Pose de porte paliere en cloison ossature metallique et BA13,u,95.00,95.00,95.00,BONNET_CEDRIC D-260183 2026,Devis reel,,0
Plaquiste,Cloison de distribution rails/montants 48 double BA13 + laine acoustique 45mm,m2,88.00,88.00,88.00,BONNET_CEDRIC D-260183 2026,Devis reel,,0
Plaquiste,Jointoiement plaques de platre (bandes papier + enduit hydrate),m2,7.00,7.00,7.00,BONNET_CEDRIC D-260183 2026,Devis reel,,0
Menuiserie,Fenetre bois 2 vantaux 2300x1250mm gamme Beaulieu laquee,u,1746.53,1746.53,1746.53,NOVA_OPUS_HABITAT D260113856 2026,Devis reel,,0
Menuiserie,Fenetre bois 2 vantaux 1950x1120mm gamme Beaulieu laquee,u,1274.17,1274.17,1274.17,NOVA_OPUS_HABITAT D260113856 2026,Devis reel,,0
Menuiserie,Fenetre bois 2 vantaux 1700x1100mm gamme Beaulieu laquee,u,1134.10,1134.10,1134.10,NOVA_OPUS_HABITAT D260113856 2026,Devis reel,,0
Menuiserie,Fenetre bois 2 vantaux 1450x1100mm gamme Beaulieu laquee,u,979.54,979.54,979.54,NOVA_OPUS_HABITAT D260113856 2026,Devis reel,,0
Menuiserie,Pose complete de menuiseries bois (depose totale + etancheite + finitions),forfait,1560.00,1560.00,1560.00,NOVA_OPUS_HABITAT D260113856 2026,Devis reel,,0
Volets,Volet persienne bois exotique 34mm 2000x1080mm 2 vantaux,u,1041.64,1041.64,1041.64,BONNET_CEDRIC 00109 2026,Devis reel,,0
Volets,Volet bois lames verticales exotique 27mm 1680x1060mm 2 vantaux,u,671.23,671.23,671.23,BONNET_CEDRIC 00109 2026,Devis reel,,0
Volets,Pose de volets battants,u,120.00,120.00,120.00,BONNET_CEDRIC 00109 2026,Devis reel,,0
Volets,Echafaudage sur toute hauteur,forfait,580.00,580.00,580.00,BONNET_CEDRIC 00109 2026,Devis reel,,0
Menuiserie,Oeil de boeuf PVC fixe 600x700mm avec petits bois,u,1121.17,1121.17,1121.17,L_ATELIER58 DE-202607-090 2026,Devis reel,,0
Menuiserie,Fenetre PVC oscillo-battante 1 vantail 800x1150mm,u,454.25,454.25,454.25,L_ATELIER58 DE-202607-090 2026,Devis reel,,0
Menuiserie,Baie vitree coulissante aluminium 2 vantaux 2600x2700mm avec chassis fixe,u,2815.45,2815.45,2815.45,L_ATELIER58 DE-202607-090 2026,Devis reel,,0
Menuiserie,Fenetre PVC oscillo-battante 2 vantaux 1800x1460mm,u,957.37,957.37,957.37,L_ATELIER58 DE-202607-090 2026,Devis reel,,0
Menuiserie,Porte d'entree aluminium ligne CUZCO 900x1900mm,u,2074.95,2074.95,2074.95,L_ATELIER58 DE-202607-090 2026,Devis reel,,0
Menuiserie,Porte d'entree aluminium ligne CUZCO 912x2100mm avec vitrage decoratif,u,2189.81,2189.81,2189.81,L_ATELIER58 DE-202607-090 2026,Devis reel,,0
Menuiserie,Portail aluminium 2 vantaux motorise 2620x2000mm avec motorisation Somfy,u,4666.50,4666.50,4666.50,L_ATELIER58 DE-202607-090 2026,Devis reel,,0
Menuiserie,Depose totale et pose de 5 fenetres + 3 baies vitrees + 2 portes + 1 portail,forfait,3840.00,3840.00,3840.00,L_ATELIER58 DE-202607-090 2026,Devis reel,,0
Menuiserie,Petit consommable de pose menuiseries,forfait,260.00,260.00,260.00,L_ATELIER58 DE-202607-090 2026,Devis reel,,0
Dechets,Forfait descente et traitement dechets (anciennes menuiseries verre gravats),forfait,150.00,150.00,150.00,L_ATELIER58 DE-202607-090 2026,Devis reel,,0
Menuiserie,Forfait deplacement pose menuiseries,forfait,370.00,370.00,370.00,L_ATELIER58 DE-202607-090 2026,Devis reel,,0
Peinture,Poncage bandes + protection + impression murs et plafonds,m2,4.00,4.00,4.00,MILCENT_PEINTURE D08-D09-2026 2026,Devis reel,,0
Peinture,Application deux couches peinture mate plafonds,m2,10.00,10.00,10.00,MILCENT_PEINTURE D08-D09-2026 2026,Devis reel,,0
Peinture,Application deux couches peinture velours murs,m2,15.00,15.00,15.00,MILCENT_PEINTURE D08-D09-2026 2026,Devis reel,,0
Peinture,Mise en peinture de porte,u,70.00,70.00,70.00,MILCENT_PEINTURE D08-D09-2026 2026,Devis reel,,0
Peinture,Pose de sol stratifie chene 10mm avec sous-couche acoustique,m2,36.00,36.00,36.00,MILCENT_PEINTURE D08-D09-2026 2026,Devis reel,,0
Peinture,Pose de sol PVC pieces d'eau avec sous-couche acoustique,m2,36.00,36.00,36.00,MILCENT_PEINTURE D08-D09-2026 2026,Devis reel,,0
Peinture,Pose de plinthes MDF avec peinture,ml,8.00,8.00,8.00,MILCENT_PEINTURE D08-D09-2026 2026,Devis reel,,0
Couvreur,Bac acier isole 40mm polyurethane fourni et pose,m2,26.95,26.95,26.95,COLLARD_GAETAN 05-26 2025,Devis reel,,0
Couvreur,Visserie 6.3x110 avec cavalier RAL identique,u,1.12,1.12,1.12,COLLARD_GAETAN 05-26 2025,Devis reel,,0
Couvreur,Fourniture bavette faitage et rive,forfait,485.00,485.00,485.00,COLLARD_GAETAN 05-26 2025,Devis reel,,0
Couvreur,Forfait montage toiture equipe 3 personnes,forfait,7490.00,7490.00,7490.00,COLLARD_GAETAN 05-26 2025,Devis reel,,0
Couvreur,Location telescopique pour la duree du chantier,forfait,2244.67,2244.67,2244.67,COLLARD_GAETAN 05-26 2025,Devis reel,,0
Couvreur,Location ventouse de levage 8 accroches,jour,75.00,75.00,75.00,COLLARD_GAETAN 05-26 2025,Devis reel,,0
Couvreur,Deplacements et frais equipe 3 personnes,forfait,750.00,750.00,750.00,COLLARD_GAETAN 05-26 2025,Devis reel,,0
Couvreur,Elaboration dossier administratif desamiantage,forfait,250.00,250.00,250.00,COLLARD_GAETAN 14-2026 2026,Devis reel,,0
Couvreur,Location nacelle thermique 2 jours,forfait,960.00,960.00,960.00,COLLARD_GAETAN 14-2026 2026,Devis reel,,0
Couvreur,Enlevement toiture eternit amiantee,m2,28.50,28.50,28.50,COLLARD_GAETAN 14-2026 2026,Devis reel,,0
Dechets,Mise en dechetterie specialisee tuiles en benne,forfait,375.00,375.00,375.00,COLLARD_GAETAN 14-2026 2026,Devis reel,,0
Dechets,Mise sur palette eternits amiantes et evacuation ISDND,forfait,345.00,345.00,345.00,COLLARD_GAETAN 14-2026 2026,Devis reel,,0
Couvreur,Forfait EPI amiante,forfait,175.00,175.00,175.00,COLLARD_GAETAN 14-2026 2026,Devis reel,,0
Couvreur,Deplacement chantier desamiantage,forfait,185.00,185.00,185.00,COLLARD_GAETAN 14-2026 2026,Devis reel,,0
Assainissement,Etude de faisabilite ANC groupee (3 logements),forfait,500,500,500,AGE_GEOLOGUE_3296 2025,Devis reel,,0
Assainissement,Intervention site + recueil donnees ANC,forfait,100,100,100,NCA_ENVIRONNEMENT_00004582 2026,Devis reel,,0
Assainissement,Etude de sol et tests permeabilite Porchet ANC,forfait,250,250,250,NCA_ENVIRONNEMENT_00004582 2026,Devis reel,,0
Assainissement,Leve topographique emprise ANC,forfait,250,250,250,NCA_ENVIRONNEMENT_00004582 2026,Devis reel,,0
Assainissement,Redaction etude et rapport de faisabilite ANC,forfait,600,600,600,NCA_ENVIRONNEMENT_00004582 2026,Devis reel,,0
Electricite,Accompagnement technique et administratif dossier GEREDIS,forfait,350,350,350,ATC_INGENIERIE_2026H1 2026,Devis reel,,0
Electricite,Demande de formulaire DT avec releve reseaux,forfait,150,150,150,ATC_INGENIERIE_2026H1 2026,Devis reel,,0
Electricite,Plans execution electrique et note de calcul colonne montante,forfait,650,650,650,ATC_INGENIERIE_2026H1 2026,Devis reel,,0
Electricite,Edition CCTP et DPGF pour consultation entreprises electricite,forfait,800,800,800,ATC_INGENIERIE_2026H1 2026,Devis reel,,0
Electricite,Analyse des offres entreprises electricite,forfait,150,150,150,ATC_INGENIERIE_2026H1 2026,Devis reel,,0
Electricite,Etude AVP colonne montante et raccordement ENEDIS collectif,forfait,3250,3250,3250,DELTA_ENERGIES_2026001 2026,Devis reel,,0
Electricite,CCTP electrique consultation entreprises,forfait,1550,1550,1550,DELTA_ENERGIES_2026001 2026,Devis reel,,0
Electricite,Etude electrique infrastructures collectives et raccordement ENEDIS,forfait,2200,2200,2200,ACE_BUREAU_ETUDES 2025 2026,Devis reel,,0
EtudeSol,Etude de sol G1 PGC,forfait,890,890,890,GPH_46026 2025,Devis reel,,0
EtudeSol,DICT prealable aupres concessionnaires reseaux,u,80,80,80,ALIOS_PNI257155_G1PGC 2025,Devis reel,,0
EtudeSol,Amenee et repli du materiel de sondage,u,200,200,200,ALIOS_PNI257155_G1PGC 2025,Devis reel,,0
EtudeSol,Essai de penetration dynamique jusqu'a 6-8m,u,70,70,70,ALIOS_PNI257155_G1PGC 2025,Devis reel,,0
EtudeSol,Sondage a la tariere mecanique jusqu'a 6-8m,u,70,70,70,ALIOS_PNI257155_G1PGC 2025,Devis reel,,0
EtudeSol,Determination des limites d'Atterberg,u,150,150,150,ALIOS_PNI257155_G1PGC 2025,Devis reel,,0
EtudeSol,Etude geotechnique preliminaire G1 PGC - ingenierie et rapport,u,350,350,350,ALIOS_PNI257155_G1PGC 2025,Devis reel,,0
Diagnostiqueur,Pack diagnostics maison avant 1949,forfait,450,450,450,DIAGOME_26DE0307 2026,Devis reel bien 130m2,,0
Diagnostiqueur,Pack diagnostics maison 1970,forfait,375,375,375,DIAGOME_26DE0307 2026,Devis reel bien 120m2,,0
Diagnostiqueur,Diagnostic amiante appartement type studio,u,100,100,100,DIAGOME_26DE0300 2026,Devis reel 4 studios,,0
Diagnostiqueur,Diagnostic termites appartement type studio,u,100,100,100,DIAGOME_26DE0300 2026,Devis reel,,0
